Feature,Mean SHAP Value,Permutation Importance
vote_count,1.778902024623981,0.16903765690376574
vote_average,0.2431710425123672,0.004602510460251086
run_time,0.5771071775445384,0.028661087866108836
num_Asian,0.08390724044791384,0.0066945606694561064
num_Black,0.03543150869958175,-0.0016736401673639989
num_Hispanic,0.001294794697778549,0.0
num_Middle Eastern,0.0764741348327426,0.0035564853556486085
num_Native American,0.041027842054837955,2.2204460492503132e-17
num_Others,0.003976946236074117,0.00020920502092049986
num_White,0.06713167175275823,0.005439330543933108
release_year,0.7248031533465182,0.04184100418410046
real_revenue,0.4741339918889144,0.02217573221757325
real_budget,0.09853732389155674,0.002719665271966587
female_ratio,0.14732695093250436,0.004184100418410064
from_US,0.22983372243323616,0.0008368200836820661
from_JP,0.02739094299037482,0.0004184100418410441
from_GB,0.02640094038292586,2.2204460492503132e-17
from_FR,0.023286991151568133,0.0006276150627614995
from_DE,0.0015769923472833888,0.0
from_HK,0.035201984057105,0.0016736401673640654
from_SE,0.0,0.0
from_AU,0.0,0.0
from_CA,0.001310709353052422,0.0
from_PL,0.0,0.0
from_CH,0.0,0.0
from_IT,0.008260704678470189,0.00020920502092049986
from_ZA,0.0,0.0
from_BW,0.0,0.0
from_MX,0.0,0.0
from_DK,0.010752930432467146,0.0008368200836820217
from_GR,0.0,0.0
from_TR,0.0,0.0
from_IN,0.00869853532265281,-0.0020920502092049986
from_TH,0.0,0.0
from_FI,0.0,0.0
from_TW,0.0,0.0
from_CZ,0.0,0.0
from_SU,0.0,0.0
from_ES,0.009259377920040007,0.0016736401673640654
from_CN,0.0,0.0
from_BD,0.0,0.0
from_NZ,0.0,0.0
from_RU,0.0,0.0
from_KR,0.0,0.0
from_MY,0.0,0.0
from_NO,0.0,0.0
from_NL,0.0,0.0
from_YU,0.0,0.0
from_IS,0.0,0.0
from_BE,0.0,0.0
from_LU,0.0,0.0
from_SG,0.0,0.0
from_AT,0.0,0.0
from_HU,0.0,0.0
from_IE,0.0,0.0
from_SJ,0.0,0.0
from_XC,0.0,0.0
from_PH,0.0,0.0
from_RO,0.0,0.0
from_IR,0.0,0.0
from_BR,0.0,0.0
from_AR,0.0,0.0
from_PT,0.0,0.0
from_ID,0.0,0.0
from_KM,0.0,0.0
from_IL,0.0,0.0
from_EG,0.0,0.0
lang_ar,0.0,0.0
lang_bn,0.0,0.0
lang_cn,0.0025887497640430506,0.0
lang_cs,0.0,0.0
lang_da,0.0,0.0
lang_de,0.003960014651920793,0.0014644351464435435
lang_el,0.0,0.0
lang_en,0.04732926882554954,-0.001464435146443499
lang_es,0.0075645601436756535,0.003974895397489608
lang_fa,0.0,0.0
lang_fi,0.0,0.0
lang_fr,0.011399866270708213,-0.0004184100418409997
lang_he,0.0,0.0
lang_hi,0.027604771204946255,0.0006276150627614995
lang_hu,0.0,0.0
lang_id,0.0,0.0
lang_is,0.0,0.0
lang_it,0.007895615714737294,0.00020920502092049986
lang_ja,0.036627323929136854,0.0008368200836820217
lang_km,0.0,0.0
lang_ko,0.0,0.0
lang_lt,0.0,0.0
lang_ml,0.005450198848509978,0.0006276150627615218
lang_ms,0.0,0.0
lang_nl,0.0,0.0
lang_no,0.0,0.0
lang_pl,0.0,0.0
lang_pt,0.0,0.0
lang_ro,0.0,0.0
lang_ru,0.0,0.0
lang_sl,0.0,0.0
lang_sr,0.0,0.0
lang_sv,0.0,0.0
lang_ta,0.01278936789056934,-0.0004184100418409997
lang_te,0.0,0.0
lang_th,0.0,0.0
lang_tl,0.0,0.0
lang_tr,0.0,0.0
lang_uk,0.0,0.0
lang_xx,0.0,0.0
lang_zh,0.0,0.0
is_Action,0.1775727016872509,0.0064853556485355845
is_Adventure,0.039462211860855814,0.0004184100418409997
is_Animation,0.0036522850186464263,0.0
is_Comedy,0.18971181880718357,0.009414225941422627
