Wikipedia movie ID,Freebase movie ID,Movie name,Movie release date,Movie runtime,Movie languages (Freebase ID:name tuples),Movie countries (Freebase ID:name tuples),Movie genres (Freebase ID:name tuples),tmdb_id,collection_name,collection_id,vote_count,vote_average,genres,budget,run_time,tmdb_origin_country,tmdb_original_language,Movie release date corrected,release_year,movie_order,box_office,profit,years_diff_bt_pre_movies,CPI,real_revenue,real_budget,real_profit,ratio_revenue_budget,num_genres,collection_size
16782,/m/048rn,King Kong,1933,100.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0g092b"": ""Monster movie"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure"", ""/m/06qln"": ""Stop motion"", ""/m/01g6gs"": ""Black-and-white"", ""/m/0hcr"": ""Animation"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/087lqx"": ""Pre-Code"", ""/m/01drsx"": ""Disaster"", ""/m/02kdv5l"": ""Action"", ""/m/01xpvb7"": ""Airplanes and airports""}",244.0,King Kong (1933) Collection,135495.0,1455.0,7.6,"['Adventure', 'Fantasy', 'Horror']",672000.0,104.0,['US'],en,1933-01-01,1933,1.0,1856000.0,1184000.0,,38.9,4158725.160066398,1505745.316575765,2652979.843490633,2.7619047619047614,3,2
25491,/m/06cgf,The Rocky Horror Picture Show,1975-08-14,100.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/0gsy3b"": ""Sex comedy"", ""/m/03npn"": ""Horror"", ""/m/06n90"": ""Science Fiction"", ""/m/01q03"": ""Cult"", ""/m/04t36"": ""Musical"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3n7f"": ""Horror Comedy""}",36685.0,The Rocky Horror Picture Show Collection,694606.0,2778.0,7.5,"['Comedy', 'Science Fiction', 'Fantasy', 'Horror']",1400000.0,100.0,"['US', 'GB']",en,1975-08-14,1975,1.0,175000000.0,173600000.0,,161.7,392121176.1916054,3136969.409532843,388984206.78207254,125.0,4,2
27079,/m/06qyw,Star Trek: Generations,1994-11-18,118.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/03k9fj"": ""Adventure""}",193.0,Star Trek: The Next Generation Collection,115570.0,1317.0,6.5,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",38000000.0,117.0,['US'],en,1994-11-18,1994,1.0,118071125.0,80071125.0,,445.4,264561076.62437752,85146312.54446289,179414764.07991463,3.1071348684210527,4,4
27097,/m/06r2h,Star Trek: First Contact,1996-11-18,110.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/07s2s"": ""Time travel"", ""/m/03k9fj"": ""Adventure""}",199.0,Star Trek: The Next Generation Collection,115570.0,1741.0,7.289,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",46000000.0,111.0,['US'],en,1996-11-18,1996,2.0,146027888.0,100027888.0,2.0,471.3,327203583.9962058,103071852.02750771,224131731.96869808,3.1745193043478257,4,4
27098,/m/06r2_,Star Trek II: The Wrath of Khan,1982-06-04,112.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action"", ""/m/03k9fj"": ""Adventure""}",154.0,Star Trek: The Original Series Collection,151.0,1899.0,7.443,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",12000000.0,112.0,['US'],en,1982-06-04,1982,2.0,97000000.0,85000000.0,3.0,290.0,217347166.23191842,26888309.224567227,190458857.0073512,8.083333333333334,4,6
29781,/m/07bw7,The Texas Chain Saw Massacre,1974-10-01,75.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/03npn"": ""Horror"", ""/m/01q03"": ""Cult""}",30497.0,Texas Chainsaw Massacre Collection,111751.0,3297.0,7.3,['Horror'],140000.0,83.0,['US'],en,1974-10-01,1974,1.0,30859000.0,30719000.0,,148.2,69145527.86341001,313696.9409532843,68831830.92245673,220.42142857142858,1,5
30006,/m/07cyl,The Silence of the Lambs,1991-02-14,118.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0hn10"": ""LGBT"", ""/m/03npn"": ""Horror"", ""/m/09blyk"": ""Psychological thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/0c3351"": ""Suspense"", ""/m/07s9rl0"": ""Drama"", ""/m/02wtdps"": ""Crime Thriller""}",274.0,The Hannibal Lecter Collection,9743.0,16226.0,8.347,"['Crime', 'Drama', 'Thriller']",19000000.0,119.0,['US'],en,1991-02-14,1991,1.0,272742922.0,253742922.0,,409.3,611133002.1290016,42573156.272231445,568559845.8567702,14.354890631578947,3,3
30007,/m/07cz2,The Matrix,1999-03-31,135.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0chghy"": ""Australia""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/094ddt"": ""Doomsday film"", ""/m/02m4t"": ""Existentialism"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/02kdv5l"": ""Action""}",603.0,The Matrix Collection,2344.0,25577.0,8.2,"['Action', 'Science Fiction']",63000000.0,136.0,['US'],en,1999-03-31,1999,1.0,463517383.0,400517383.0,,500.6,1038599893.7555134,141163623.42897794,897436270.3265355,7.357418777777778,2,3
30275,/m/07g38,Night of the Living Dead,1968-10-01,96.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/0219x_"": ""Indie"", ""/m/094ddt"": ""Doomsday film"", ""/m/01g6gs"": ""Black-and-white"", ""/m/01q03"": ""Cult"", ""/m/02n4kr"": ""Mystery"", ""/m/02vn3k"": ""Splatter film"", ""/m/0jb4p32"": ""Zombie Film""}",10331.0,Living Dead Collection,261590.0,2430.0,7.6,"['Horror', 'Thriller']",114000.0,96.0,['US'],en,1968-10-01,1968,1.0,42000000.0,41886000.0,,104.5,94109082.2859853,255438.93763338868,93853643.34835191,368.42105263157896,2,4
30327,/m/07ghq,The Terminator,1984-10-26,107.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/0219x_"": ""Indie"", ""/m/094ddt"": ""Doomsday film"", ""/m/06qln"": ""Stop motion"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s2s"": ""Time travel"", ""/m/02kdv5l"": ""Action""}",218.0,The Terminator Collection,528.0,13105.0,7.7,"['Action', 'Thriller', 'Science Fiction']",6400000.0,108.0,['US'],en,1984-10-26,1984,1.0,78371200.0,71971200.0,,312.2,175605754.99170026,14340431.586435854,161265323.4052644,12.2455,3,4
