Wikipedia movie ID,Freebase movie ID,Movie name,Movie release date
20365034,/m/04zyk2s,Mera ur kärlekens språk,1970
4724834,/m/0ck650,Asterix and the Vikings,2006
9764248,/m/02prgzz,Fantômas,1964
25756832,/m/09v5v93,The Inugamis,1976
25496318,/m/09rtnc_,Wog Boy 2: Kings of Mykonos,2010
18837293,/m/04gr2c3,Ice Blues,2008
1127963,/m/048p4k,The Great Escape II: The Untold Story,1988
7452100,/m/0kv7x7,Family Troubles,1943
19554323,/m/04n10wq,Still Not Quite Human,1992
12076940,/m/02vp1gb,God of Gamblers 3: The Early Stage,1997
29337282,/m/0ds03bv,"Papa, maman, ma femme et moi",1955
27352697,/m/0bx_fx6,Free and Easy II,1989
2251010,/m/06z86x,The Road To Memphis,2004
26192837,/m/0b74_jy,Bowery Bombshell,1946
31958798,/m/0gvr1s1,Paglu,2011
20906855,/m/05b1vcp,"All's Well, Ends Well 2009",2009
15765881,/m/03nspw1,The Stepford Husbands,1996
22951505,/m/06411y0,"Grendizer, Getter Robot G, Great Mazinger: Kessen! Daikaijuu",1976
28035306,/m/0cmcjw_,Caesar and Otto's Summer Camp Massacre,2009
7140121,/m/0h6bt1,Fist of Fury II,1977
7143242,/m/0h6j8k,Fist of Fury III,1979
29816737,/m/0fq0kjw,Uppukandam Brothers Back in Action,2011
16643103,/m/03yj8vd,Head Case,2007
34196788,/m/0hrbjwj,Vares: Private Eye,2004
32986603,/m/0h55gh_,Always Sanchōme no Yūhi '64,2012
15676631,/m/03qcj5y,Licensed to Kill,1965
28048549,/m/0cm9lrd,Flirting Scholar 2,2010
31931578,/m/0gvvv3p,New Tale of Zatoichi,1963
24099991,/m/07kbdyx,Shiva,2008
36012788,/m/0n40qmp,The Hunger Games: Catching Fire,2013
19524540,/m/04n22xk,Girls Without Tomorrow 1992,1992
29865122,/m/0fqs32p,Ex,2009
19524078,/m/04n02y1,Girls Without Tomorrow,1988
18247486,/m/04crgtk,Not Quite Human II,1989
32071061,/m/0gwzqm4,Blondie Meets the Boss,1939
7297949,/m/0kv49n,The Saint of Gamblers,1995
7661542,/m/0kvdj7,The Pretender: Island of the Haunted,2001
30534369,/m/0g9xtwb,Sister Street Fighter: Hanging by a Thread,1974
32312198,/m/0gyw77p,Keroro Gunso the Super Movie 4: Gekishin Dragon Warriors,2009
33035337,/m/0h52qc0,Elias og jakten på havets gull,2010
